ccm nave,Time,temp,RH,Dew Point,Serial Number
127,2021-11-17 21:55,10.5,77.5,6.7,
128,2021-11-17 22:10,10.5,77.5,6.7,
129,2021-11-17 22:25,10.5,77.5,6.7,
130,2021-11-17 22:40,10.5,77.5,6.7,
131,2021-11-17 22:55,10.5,77.5,6.7,
132,2021-11-17 23:10,10.5,77.5,6.7,
133,2021-11-17 23:25,10.5,78,6.8,
134,2021-11-17 23:40,10.5,78,6.8,
135,2021-11-17 23:55,10.5,78,6.8,
136,2021-11-18 00:10,10.5,78,6.8,
137,2021-11-18 00:25,10.5,78,6.8,
138,2021-11-18 00:40,10.5,78,6.8,
139,2021-11-18 00:55,10.5,78.5,6.9,
140,2021-11-18 01:10,10.5,78.5,6.9,
141,2021-11-18 01:25,10.5,78.5,6.9,
142,2021-11-18 01:40,10.5,78.5,6.9,
143,2021-11-18 01:55,10.5,78.5,6.9,
144,2021-11-18 02:10,10.5,78.5,6.9,
145,2021-11-18 02:25,10.5,78.5,6.9,
146,2021-11-18 02:40,11,78.5,7.4,
147,2021-11-18 02:55,11,79,7.5,
148,2021-11-18 03:10,11,79,7.5,
149,2021-11-18 03:25,11,79,7.5,
150,2021-11-18 03:40,11,79,7.5,
151,2021-11-18 03:55,11,79,7.5,
152,2021-11-18 04:10,11,79,7.5,
153,2021-11-18 04:25,11,79,7.5,
154,2021-11-18 04:40,11,79,7.5,
155,2021-11-18 04:55,11,79,7.5,
156,2021-11-18 05:10,11,79,7.5,
157,2021-11-18 05:25,11,79,7.5,
158,2021-11-18 05:40,11,79.5,7.6,
159,2021-11-18 05:55,11,79.5,7.6,
160,2021-11-18 06:10,11,79.5,7.6,
161,2021-11-18 06:25,11,79.5,7.6,
162,2021-11-18 06:40,11,79.5,7.6,
163,2021-11-18 06:55,11,79.5,7.6,
164,2021-11-18 07:10,11,79.5,7.6,
165,2021-11-18 07:25,11,79.5,7.6,
166,2021-11-18 07:40,11,79.5,7.6,
167,2021-11-18 07:55,11,79.5,7.6,
168,2021-11-18 08:10,11,79.5,7.6,
169,2021-11-18 08:25,11.5,79.5,8.1,
170,2021-11-18 08:40,11.5,79.5,8.1,
171,2021-11-18 08:55,11.5,79.5,8.1,
172,2021-11-18 09:10,11.5,79.5,8.1,
173,2021-11-18 09:25,11.5,79.5,8.1,
174,2021-11-18 09:40,11.5,79.5,8.1,
175,2021-11-18 09:55,11.5,79.5,8.1,
176,2021-11-18 10:10,11.5,79.5,8.1,
177,2021-11-18 10:25,11.5,79.5,8.1,
178,2021-11-18 10:40,11.5,80,8.2,
179,2021-11-18 10:55,11.5,80,8.2,
180,2021-11-18 11:10,11.5,80,8.2,
181,2021-11-18 11:25,11.5,80,8.2,
182,2021-11-18 11:40,11.5,80,8.2,
183,2021-11-18 11:55,11.5,80,8.2,
184,2021-11-18 12:10,11.5,80,8.2,
185,2021-11-18 12:25,11.5,80,8.2,
186,2021-11-18 12:40,11.5,80.5,8.3,
187,2021-11-18 12:55,12,80.5,8.8,
188,2021-11-18 13:10,12,80.5,8.8,
189,2021-11-18 13:25,12,80.5,8.8,
190,2021-11-18 13:40,12,80.5,8.8,
191,2021-11-18 13:55,12,80.5,8.8,
192,2021-11-18 14:10,12,80.5,8.8,
193,2021-11-18 14:25,12,80.5,8.8,
194,2021-11-18 14:40,12,80.5,8.8,
195,2021-11-18 14:55,12,80,8.7,
196,2021-11-18 15:10,12,80,8.7,
197,2021-11-18 15:25,12,80.5,8.8,
198,2021-11-18 15:40,12,80.5,8.8,
199,2021-11-18 15:55,12,80,8.7,
200,2021-11-18 16:10,12,80.5,8.8,
201,2021-11-18 16:25,12,80,8.7,
202,2021-11-18 16:40,12,80.5,8.8,
203,2021-11-18 16:55,12,80.5,8.8,
204,2021-11-18 17:10,12,80.5,8.8,
205,2021-11-18 17:25,12.5,80.5,9.2,
206,2021-11-18 17:40,12.5,80.5,9.2,
207,2021-11-18 17:55,12.5,80.5,9.2,
208,2021-11-18 18:10,12.5,80.5,9.2,
209,2021-11-18 18:25,12.5,80,9.1,
210,2021-11-18 18:40,12.5,80,9.1,
211,2021-11-18 18:55,12.5,80,9.1,
212,2021-11-18 19:10,12.5,80,9.1,
213,2021-11-18 19:25,12.5,80,9.1,
214,2021-11-18 19:40,12.5,80,9.1,
215,2021-11-18 19:55,12.5,80.5,9.2,
216,2021-11-18 20:10,12.5,80.5,9.2,
217,2021-11-18 20:25,12.5,80.5,9.2,
218,2021-11-18 20:40,12.5,80.5,9.2,
219,2021-11-18 20:55,12.5,80.5,9.2,
220,2021-11-18 21:10,12.5,80.5,9.2,
221,2021-11-18 21:25,12.5,80.5,9.2,
222,2021-11-18 21:40,12.5,80.5,9.2,
223,2021-11-18 21:55,12.5,80.5,9.2,
224,2021-11-18 22:10,12.5,80.5,9.2,
225,2021-11-18 22:25,12.5,80.5,9.2,
226,2021-11-18 22:40,12.5,80.5,9.2,
227,2021-11-18 22:55,12.5,80.5,9.2,
228,2021-11-18 23:10,12.5,80.5,9.2,
229,2021-11-18 23:25,12.5,80.5,9.2,
230,2021-11-18 23:40,12.5,80.5,9.2,
231,2021-11-18 23:55,12.5,80.5,9.2,
232,2021-11-19 00:10,12.5,80.5,9.2,
233,2021-11-19 00:25,12.5,80.5,9.2,
234,2021-11-19 00:40,12.5,80,9.1,
235,2021-11-19 00:55,12.5,80,9.1,
236,2021-11-19 01:10,12.5,80,9.1,
237,2021-11-19 01:25,12.5,80,9.1,
238,2021-11-19 01:40,12.5,80,9.1,
239,2021-11-19 01:55,12.5,80,9.1,
240,2021-11-19 02:10,12.5,80,9.1,
241,2021-11-19 02:25,12.5,80,9.1,
242,2021-11-19 02:40,12.5,80,9.1,
243,2021-11-19 02:55,12.5,80,9.1,
244,2021-11-19 03:10,12.5,80,9.1,
245,2021-11-19 03:25,12.5,80,9.1,
246,2021-11-19 03:40,12.5,80,9.1,
247,2021-11-19 03:55,12.5,80,9.1,
248,2021-11-19 04:10,12.5,80,9.1,
249,2021-11-19 04:25,12.5,80,9.1,
250,2021-11-19 04:40,12.5,80,9.1,
251,2021-11-19 04:55,12.5,80,9.1,
252,2021-11-19 05:10,12.5,80,9.1,
253,2021-11-19 05:25,12.5,80,9.1,
254,2021-11-19 05:40,12.5,80,9.1,
255,2021-11-19 05:55,12.5,80,9.1,
256,2021-11-19 06:10,12.5,80,9.1,
257,2021-11-19 06:25,12.5,80.5,9.2,
258,2021-11-19 06:40,12.5,80.5,9.2,
259,2021-11-19 06:55,12.5,80.5,9.2,
260,2021-11-19 07:10,12,80.5,8.8,
261,2021-11-19 07:25,12,80.5,8.8,
262,2021-11-19 07:40,12,80.5,8.8,
263,2021-11-19 07:55,12,80.5,8.8,
264,2021-11-19 08:10,12,80.5,8.8,
265,2021-11-19 08:25,12,80.5,8.8,
266,2021-11-19 08:40,12,80.5,8.8,
267,2021-11-19 08:55,12,80.5,8.8,
268,2021-11-19 09:10,12,80.5,8.8,
269,2021-11-19 09:25,12,80.5,8.8,
270,2021-11-19 09:40,12,80.5,8.8,
271,2021-11-19 09:55,12.5,80.5,9.2,
272,2021-11-19 10:10,12.5,80.5,9.2,
273,2021-11-19 10:25,12.5,80.5,9.2,
274,2021-11-19 10:40,12.5,80.5,9.2,
275,2021-11-19 10:55,12.5,80.5,9.2,
276,2021-11-19 11:10,12.5,80.5,9.2,
277,2021-11-19 11:25,12.5,80.5,9.2,
278,2021-11-19 11:40,12.5,80.5,9.2,
279,2021-11-19 11:55,12.5,80.5,9.2,
280,2021-11-19 12:10,12.5,80.5,9.2,
281,2021-11-19 12:25,12.5,81,9.3,
282,2021-11-19 12:40,12.5,81,9.3,
283,2021-11-19 12:55,12.5,81,9.3,
284,2021-11-19 13:10,12.5,81,9.3,
285,2021-11-19 13:25,13,81,9.8,
286,2021-11-19 13:40,13,80.5,9.7,
287,2021-11-19 13:55,13,80.5,9.7,
288,2021-11-19 14:10,13,80.5,9.7,
289,2021-11-19 14:25,13,80.5,9.7,
290,2021-11-19 14:40,13,80.5,9.7,
291,2021-11-19 14:55,13,80.5,9.7,
292,2021-11-19 15:10,13,80.5,9.7,
293,2021-11-19 15:25,13,80.5,9.7,
294,2021-11-19 15:40,13,80.5,9.7,
295,2021-11-19 15:55,13,80.5,9.7,
296,2021-11-19 16:10,13,80.5,9.7,
297,2021-11-19 16:25,13,80,9.6,
298,2021-11-19 16:40,13,80,9.6,
299,2021-11-19 16:55,13,80,9.6,
300,2021-11-19 17:10,13,80,9.6,
301,2021-11-19 17:25,13,80,9.6,
302,2021-11-19 17:40,13,80,9.6,
303,2021-11-19 17:55,13,80,9.6,
304,2021-11-19 18:10,13,80,9.6,
305,2021-11-19 18:25,13,80,9.6,
306,2021-11-19 18:40,13,80,9.6,
307,2021-11-19 18:55,13,80,9.6,
308,2021-11-19 19:10,13,80,9.6,
309,2021-11-19 19:25,13,80,9.6,
310,2021-11-19 19:40,13,80,9.6,
311,2021-11-19 19:55,13,80,9.6,
312,2021-11-19 20:10,13,80,9.6,
313,2021-11-19 20:25,13,80,9.6,
314,2021-11-19 20:40,13,80,9.6,
315,2021-11-19 20:55,13,80,9.6,
316,2021-11-19 21:10,13,80,9.6,
317,2021-11-19 21:25,13,80,9.6,
318,2021-11-19 21:40,13,80,9.6,
319,2021-11-19 21:55,13,80,9.6,
320,2021-11-19 22:10,13,80,9.6,
321,2021-11-19 22:25,13,80,9.6,
322,2021-11-19 22:40,13,80,9.6,
323,2021-11-19 22:55,13,80,9.6,
324,2021-11-19 23:10,13,80,9.6,
325,2021-11-19 23:25,12.5,80,9.1,
326,2021-11-19 23:40,12.5,80,9.1,
327,2021-11-19 23:55,12.5,80,9.1,
328,2021-11-20 00:10,12.5,80,9.1,
329,2021-11-20 00:25,12.5,80,9.1,
330,2021-11-20 00:40,12.5,80,9.1,
331,2021-11-20 00:55,12.5,80,9.1,
332,2021-11-20 01:10,12.5,80,9.1,
333,2021-11-20 01:25,12.5,80,9.1,
334,2021-11-20 01:40,12.5,80,9.1,
335,2021-11-20 01:55,12.5,80,9.1,
336,2021-11-20 02:10,12.5,80,9.1,
337,2021-11-20 02:25,12.5,80,9.1,
338,2021-11-20 02:40,12.5,80,9.1,
339,2021-11-20 02:55,12.5,80,9.1,
340,2021-11-20 03:10,12.5,80,9.1,
341,2021-11-20 03:25,12.5,80,9.1,
342,2021-11-20 03:40,12.5,80,9.1,
343,2021-11-20 03:55,12.5,80,9.1,
344,2021-11-20 04:10,12.5,79.5,9.1,
345,2021-11-20 04:25,12.5,79.5,9.1,
346,2021-11-20 04:40,12.5,79.5,9.1,
347,2021-11-20 04:55,12.5,79.5,9.1,
348,2021-11-20 05:10,12.5,79.5,9.1,
349,2021-11-20 05:25,12.5,79.5,9.1,
350,2021-11-20 05:40,12.5,79.5,9.1,
351,2021-11-20 05:55,12.5,79.5,9.1,
352,2021-11-20 06:10,12.5,79.5,9.1,
353,2021-11-20 06:25,12.5,79.5,9.1,
354,2021-11-20 06:40,12.5,79.5,9.1,
355,2021-11-20 06:55,12.5,79.5,9.1,
356,2021-11-20 07:10,12.5,79.5,9.1,
357,2021-11-20 07:25,12.5,79.5,9.1,
358,2021-11-20 07:40,12.5,79.5,9.1,
359,2021-11-20 07:55,12.5,79.5,9.1,
360,2021-11-20 08:10,12,79.5,8.6,
361,2021-11-20 08:25,12,79.5,8.6,
362,2021-11-20 08:40,12,79.5,8.6,
363,2021-11-20 08:55,12,79.5,8.6,
364,2021-11-20 09:10,12,79.5,8.6,
365,2021-11-20 09:25,12,79.5,8.6,
366,2021-11-20 09:40,12,79.5,8.6,
367,2021-11-20 09:55,12,79.5,8.6,
368,2021-11-20 10:10,12,79.5,8.6,
369,2021-11-20 10:25,12,79.5,8.6,
370,2021-11-20 10:40,12,79.5,8.6,
371,2021-11-20 10:55,12,79.5,8.6,
372,2021-11-20 11:10,12.5,79.5,9.1,
373,2021-11-20 11:25,12.5,79.5,9.1,
374,2021-11-20 11:40,12.5,79.5,9.1,
375,2021-11-20 11:55,12.5,79.5,9.1,
376,2021-11-20 12:10,12.5,79.5,9.1,
377,2021-11-20 12:25,12.5,79.5,9.1,
378,2021-11-20 12:40,12.5,79.5,9.1,
379,2021-11-20 12:55,12.5,79.5,9.1,
380,2021-11-20 13:10,12.5,79.5,9.1,
381,2021-11-20 13:25,12.5,79.5,9.1,
382,2021-11-20 13:40,12.5,79.5,9.1,
383,2021-11-20 13:55,12.5,79.5,9.1,
384,2021-11-20 14:10,12.5,79.5,9.1,
385,2021-11-20 14:25,12.5,79,9,
386,2021-11-20 14:40,12.5,79,9,
387,2021-11-20 14:55,12.5,79,9,
388,2021-11-20 15:10,12.5,79,9,
389,2021-11-20 15:25,12.5,79,9,
390,2021-11-20 15:40,12.5,78.5,8.9,
391,2021-11-20 15:55,12.5,78.5,8.9,
392,2021-11-20 16:10,12.5,78.5,8.9,
393,2021-11-20 16:25,12.5,78.5,8.9,
394,2021-11-20 16:40,12.5,78.5,8.9,
395,2021-11-20 16:55,12.5,78.5,8.9,
396,2021-11-20 17:10,12.5,78.5,8.9,
397,2021-11-20 17:25,12.5,78.5,8.9,
398,2021-11-20 17:40,12,78.5,8.4,
399,2021-11-20 17:55,12,78.5,8.4,
400,2021-11-20 18:10,12,78.5,8.4,
401,2021-11-20 18:25,12,78.5,8.4,
402,2021-11-20 18:40,12,78.5,8.4,
403,2021-11-20 18:55,12,78.5,8.4,
404,2021-11-20 19:10,12,78.5,8.4,
405,2021-11-20 19:25,12,78.5,8.4,
406,2021-11-20 19:40,12,78.5,8.4,
407,2021-11-20 19:55,12,78.5,8.4,
408,2021-11-20 20:10,12,78.5,8.4,
409,2021-11-20 20:25,12,78.5,8.4,
410,2021-11-20 20:40,11.5,78.5,7.9,
411,2021-11-20 20:55,11.5,78.5,7.9,
412,2021-11-20 21:10,11.5,78.5,7.9,
413,2021-11-20 21:25,11.5,78.5,7.9,
414,2021-11-20 21:40,11.5,78.5,7.9,
415,2021-11-20 21:55,11.5,78.5,7.9,
416,2021-11-20 22:10,11.5,79,8,
417,2021-11-20 22:25,11.5,79,8,
418,2021-11-20 22:40,11.5,79,8,
419,2021-11-20 22:55,11.5,79,8,
420,2021-11-20 23:10,11.5,79,8,
421,2021-11-20 23:25,11.5,79,8,
422,2021-11-20 23:40,11.5,78.5,7.9,
423,2021-11-20 23:55,11.5,78.5,7.9,
424,2021-11-21 00:10,11.5,78.5,7.9,
425,2021-11-21 00:25,12,78.5,8.4,
426,2021-11-21 00:40,12,78,8.3,
427,2021-11-21 00:55,12,78,8.3,
428,2021-11-21 01:10,12,78,8.3,
429,2021-11-21 01:25,12,78,8.3,
430,2021-11-21 01:40,12,78,8.3,
431,2021-11-21 01:55,12,78,8.3,
432,2021-11-21 02:10,12,77.5,8.2,
433,2021-11-21 02:25,12,77.5,8.2,
434,2021-11-21 02:40,12,77.5,8.2,
435,2021-11-21 02:55,12,77.5,8.2,
436,2021-11-21 03:10,12,77.5,8.2,
437,2021-11-21 03:25,12.5,77.5,8.7,
438,2021-11-21 03:40,12.5,77,8.6,
439,2021-11-21 03:55,12.5,77,8.6,
440,2021-11-21 04:10,12.5,77,8.6,
441,2021-11-21 04:25,12.5,77,8.6,
442,2021-11-21 04:40,12.5,76.5,8.5,
443,2021-11-21 04:55,12.5,76.5,8.5,
444,2021-11-21 05:10,12.5,76.5,8.5,
445,2021-11-21 05:25,12.5,76.5,8.5,
446,2021-11-21 05:40,12.5,76.5,8.5,
447,2021-11-21 05:55,12.5,76,8.4,
448,2021-11-21 06:10,12.5,76,8.4,
449,2021-11-21 06:25,12.5,76,8.4,
450,2021-11-21 06:40,12.5,76,8.4,
451,2021-11-21 06:55,12.5,75.5,8.3,
452,2021-11-21 07:10,12.5,75.5,8.3,
453,2021-11-21 07:25,12.5,75.5,8.3,
454,2021-11-21 07:40,12.5,75.5,8.3,
455,2021-11-21 07:55,12.5,75.5,8.3,
456,2021-11-21 08:10,12.5,75,8.2,
457,2021-11-21 08:25,12.5,75,8.2,
458,2021-11-21 08:40,12.5,75,8.2,
459,2021-11-21 08:55,12.5,75,8.2,
460,2021-11-21 09:10,12.5,74.5,8.1,
461,2021-11-21 09:25,12.5,74.5,8.1,
462,2021-11-21 09:40,12.5,74.5,8.1,
463,2021-11-21 09:55,12.5,74,8,
464,2021-11-21 10:10,13,73,8.3,
465,2021-11-21 10:25,13.5,72,8.6,
466,2021-11-21 10:40,13.5,72.5,8.7,
467,2021-11-21 10:55,13.5,72.5,8.7,
468,2021-11-21 11:10,14,72,9,
469,2021-11-21 11:25,15,71.5,9.9,
470,2021-11-21 11:40,15,69.5,9.5,
471,2021-11-21 11:55,14.5,69.5,9,
472,2021-11-21 12:10,14.5,70,9.1,
473,2021-11-21 12:25,14.5,70,9.1,
474,2021-11-21 12:40,14.5,70.5,9.2,
475,2021-11-21 12:55,14,70.5,8.7,
476,2021-11-21 13:10,14,71,8.8,
477,2021-11-21 13:25,14,70.5,8.7,
478,2021-11-21 13:40,14,71,8.8,
479,2021-11-21 13:55,14,71,8.8,
480,2021-11-21 14:10,14,71,8.8,
481,2021-11-21 14:25,13.5,71,8.4,
482,2021-11-21 14:40,13.5,71,8.4,
483,2021-11-21 14:55,13.5,71.5,8.5,
484,2021-11-21 15:10,13.5,71.5,8.5,
485,2021-11-21 15:25,13.5,71.5,8.5,
486,2021-11-21 15:40,13.5,71.5,8.5,
487,2021-11-21 15:55,13.5,71.5,8.5,
488,2021-11-21 16:10,13.5,72,8.6,
489,2021-11-21 16:25,13.5,72,8.6,
490,2021-11-21 16:40,13.5,72,8.6,
491,2021-11-21 16:55,13.5,72,8.6,
492,2021-11-21 17:10,13,72,8.1,
493,2021-11-21 17:25,13,72,8.1,
494,2021-11-21 17:40,13,72,8.1,
495,2021-11-21 17:55,13,72,8.1,
496,2021-11-21 18:10,13,72,8.1,
497,2021-11-21 18:25,13,72.5,8.2,
498,2021-11-21 18:40,13,72.5,8.2,
499,2021-11-21 18:55,12.5,73,7.8,
500,2021-11-21 19:10,12.5,73,7.8,
501,2021-11-21 19:25,12.5,73,7.8,
502,2021-11-21 19:40,12.5,73.5,7.9,
503,2021-11-21 19:55,12.5,73.5,7.9,
504,2021-11-21 20:10,12.5,73.5,7.9,
505,2021-11-21 20:25,12.5,73.5,7.9,
506,2021-11-21 20:40,12.5,73.5,7.9,
507,2021-11-21 20:55,12,73.5,7.4,
508,2021-11-21 21:10,12,74,7.5,
509,2021-11-21 21:25,12,74,7.5,
510,2021-11-21 21:40,12,74,7.5,
511,2021-11-21 21:55,12,74,7.5,
512,2021-11-21 22:10,12,74,7.5,
513,2021-11-21 22:25,12,74,7.5,
514,2021-11-21 22:40,12,74.5,7.6,
515,2021-11-21 22:55,11.5,74.5,7.1,
516,2021-11-21 23:10,11.5,74.5,7.1,
517,2021-11-21 23:25,11.5,74.5,7.1,
518,2021-11-21 23:40,11.5,74.5,7.1,
519,2021-11-21 23:55,11.5,74.5,7.1,
520,2021-11-22 00:10,11.5,74.5,7.1,
521,2021-11-22 00:25,11.5,75,7.2,
522,2021-11-22 00:40,11.5,75,7.2,
523,2021-11-22 00:55,11.5,75,7.2,
524,2021-11-22 01:10,11.5,75,7.2,
525,2021-11-22 01:25,11,75,6.7,
526,2021-11-22 01:40,11,75,6.7,
527,2021-11-22 01:55,11,75,6.7,
528,2021-11-22 02:10,11,75,6.7,
529,2021-11-22 02:25,11,75,6.7,
530,2021-11-22 02:40,11,75,6.7,
531,2021-11-22 02:55,11,75,6.7,
532,2021-11-22 03:10,11,75,6.7,
533,2021-11-22 03:25,11,75.5,6.8,
534,2021-11-22 03:40,11,75.5,6.8,
535,2021-11-22 03:55,10.5,75.5,6.4,
536,2021-11-22 04:10,10.5,75.5,6.4,
537,2021-11-22 04:25,10.5,75.5,6.4,
538,2021-11-22 04:40,10.5,75.5,6.4,
539,2021-11-22 04:55,10.5,75.5,6.4,
540,2021-11-22 05:10,10.5,75.5,6.4,
541,2021-11-22 05:25,10.5,75.5,6.4,
542,2021-11-22 05:40,10.5,75.5,6.4,
543,2021-11-22 05:55,10,75.5,5.9,
544,2021-11-22 06:10,10,76,6,
545,2021-11-22 06:25,10,76,6,
546,2021-11-22 06:40,10,76,6,
547,2021-11-22 06:55,10,76,6,
548,2021-11-22 07:10,10,76,6,
549,2021-11-22 07:25,10,76,6,
550,2021-11-22 07:40,10,76,6,
551,2021-11-22 07:55,10,76,6,
552,2021-11-22 08:10,9.5,76,5.5,
553,2021-11-22 08:25,9.5,76,5.5,
554,2021-11-22 08:40,9.5,76.5,5.6,
555,2021-11-22 08:55,9.5,76.5,5.6,
556,2021-11-22 09:10,9.5,76.5,5.6,
557,2021-11-22 09:25,9.5,76.5,5.6,
558,2021-11-22 09:40,9.5,76.5,5.6,
559,2021-11-22 09:55,9.5,76.5,5.6,
560,2021-11-22 10:10,9.5,76.5,5.6,
561,2021-11-22 10:25,9.5,77,5.7,
562,2021-11-22 10:40,9.5,77,5.7,
563,2021-11-22 10:55,9.5,77,5.7,
564,2021-11-22 11:10,9.5,77,5.7,
565,2021-11-22 11:25,9.5,77,5.7,
566,2021-11-22 11:40,9.5,77,5.7,
567,2021-11-22 11:55,9.5,77,5.7,
568,2021-11-22 12:10,10,77,6.2,
569,2021-11-22 12:25,10,77,6.2,
570,2021-11-22 12:40,10,76.5,6.1,
571,2021-11-22 12:55,10,76.5,6.1,
572,2021-11-22 13:10,10,76.5,6.1,
573,2021-11-22 13:25,10,76.5,6.1,
574,2021-11-22 13:40,10,76,6,
575,2021-11-22 13:55,10,76.5,6.1,
576,2021-11-22 14:10,10,76,6,
577,2021-11-22 14:25,10,76,6,
578,2021-11-22 14:40,10,76,6,
